id,text,sentiment
87,"It was okay, nothing too special about the experience.",Neutral
88,The waitstaff was incredibly friendly and accommodating.,Positive
89,It’s just a typical place to grab a bite—nothing memorable.,Neutral
90,Everything from the appetizers to the main course was perfect!,Positive
91,"Terrible experience! The staff was rude, and the food was undercooked.",Negative
92,It was worth every penny for such an incredible dining experience.,Positive
93,The live music added a lovely touch to the meal.,Positive
94,"The ambiance of the restaurant was cozy, and the staff was very attentive.",Positive
95,I left the restaurant hungry because the portions were too small.,Negative
96,"The service was unacceptable, and I wouldn't recommend this place.",Negative
97,The overall experience was mediocre at best.,Neutral
98,The staff ignored us for most of the evening.,Negative
99,The live music added a lovely touch to the meal.,Positive
100,"The pasta was bland, and the portion sizes were disappointingly small.",Negative
101,"The food was inedible, and I felt sick afterward.",Negative
102,"Service was neither bad nor great, just average.",Neutral
103,The overall experience was mediocre at best.,Neutral
104,The meal was average; I've had better at cheaper places.,Neutral
105,Everything from the appetizers to the main course was perfect!,Positive
106,The waitstaff was incredibly friendly and accommodating.,Positive
107,"The portions were generous, and the flavors were rich and satisfying.",Positive
108,"The pasta was bland, and the portion sizes were disappointingly small.",Negative
109,"The pasta was bland, and the portion sizes were disappointingly small.",Negative
110,A fantastic experience overall! Highly recommend trying the steak.,Positive
111,"I had to wait over an hour for my food, and it was cold when it arrived.",Negative
112,A fantastic experience overall! Highly recommend trying the steak.,Positive
113,The waitstaff was incredibly friendly and accommodating.,Positive
114,The live music added a lovely touch to the meal.,Positive
115,I really enjoyed the dessert; it was the highlight of the evening.,Positive
116,I left the restaurant hungry because the portions were too small.,Negative
117,The live music added a lovely touch to the meal.,Positive
118,"The portions were generous, and the flavors were rich and satisfying.",Positive
119,I left the restaurant hungry because the portions were too small.,Negative
120,It was worth every penny for such an incredible dining experience.,Positive
121,It’s just a typical place to grab a bite—nothing memorable.,Neutral
122,A fantastic experience overall! Highly recommend trying the steak.,Positive
123,The staff ignored us for most of the evening.,Negative
124,"The decor was fine, but nothing extraordinary.",Neutral
125,"Food was served quickly, but the taste was just alright.",Neutral
126,"I had to wait over an hour for my food, and it was cold when it arrived.",Negative
127,"Terrible experience! The staff was rude, and the food was undercooked.",Negative
128,"The drinks were amazing, and the presentation was beautiful.",Positive
129,"The restaurant was dirty, and the tableware was not clean.",Negative
130,Everything from the appetizers to the main course was perfect!,Positive
131,Everything from the appetizers to the main course was perfect!,Positive
132,I left the restaurant hungry because the portions were too small.,Negative
133,"The drinks were amazing, and the presentation was beautiful.",Positive
134,I really enjoyed the dessert; it was the highlight of the evening.,Positive
135,It’s just a typical place to grab a bite—nothing memorable.,Neutral
136,It was worth every penny for such an incredible dining experience.,Positive
137,"Terrible experience! The staff was rude, and the food was undercooked.",Negative
138,The live music added a lovely touch to the meal.,Positive
139,A fantastic experience overall! Highly recommend trying the steak.,Positive
140,"The ambiance of the restaurant was cozy, and the staff was very attentive.",Positive
141,"Food was served quickly, but the taste was just alright.",Neutral
142,It’s just a typical place to grab a bite—nothing memorable.,Neutral
143,"It was okay, nothing too special about the experience.",Neutral
144,"The drinks were amazing, and the presentation was beautiful.",Positive
145,"The drinks were amazing, and the presentation was beautiful.",Positive
146,"Food was served quickly, but the taste was just alright.",Neutral
147,"The decor was fine, but nothing extraordinary.",Neutral
148,Completely overpriced for the quality of food served.,Negative
149,I left the restaurant hungry because the portions were too small.,Negative
150,Everything from the appetizers to the main course was perfect!,Positive
151,It’s just a typical place to grab a bite—nothing memorable.,Neutral
152,"The portions were generous, and the flavors were rich and satisfying.",Positive
153,Completely overpriced for the quality of food served.,Negative
154,The waitstaff was incredibly friendly and accommodating.,Positive
155,The food was absolutely delicious and the service was excellent.,Positive
156,I left the restaurant hungry because the portions were too small.,Negative
157,Completely overpriced for the quality of food served.,Negative
158,The food was absolutely delicious and the service was excellent.,Positive
159,"Terrible experience! The staff was rude, and the food was undercooked.",Negative
160,A fantastic experience overall! Highly recommend trying the steak.,Positive
161,"Terrible experience! The staff was rude, and the food was undercooked.",Negative
162,"The pasta was bland, and the portion sizes were disappointingly small.",Negative
163,The meal was average; I've had better at cheaper places.,Neutral
164,"The pasta was bland, and the portion sizes were disappointingly small.",Negative
165,"The ambiance was too noisy, and it ruined the meal.",Negative
166,"The portions were generous, and the flavors were rich and satisfying.",Positive
167,"The drinks were amazing, and the presentation was beautiful.",Positive
168,"The ambiance was too noisy, and it ruined the meal.",Negative
169,Completely overpriced for the quality of food served.,Negative
170,"The chairs were uncomfortable, but the drinks were reasonably good.",Neutral
171,The waitstaff was incredibly friendly and accommodating.,Positive
172,I really enjoyed the dessert; it was the highlight of the evening.,Positive
173,"The restaurant was crowded and a bit noisy, but the food was decent.",Neutral
174,"The food was inedible, and I felt sick afterward.",Negative
175,"Service was neither bad nor great, just average.",Neutral
176,The food was absolutely delicious and the service was excellent.,Positive
177,"Prices were reasonable, but the quality was lacking.",Neutral
178,"Terrible experience! The staff was rude, and the food was undercooked.",Negative
179,The live music added a lovely touch to the meal.,Positive
180,The live music added a lovely touch to the meal.,Positive
181,"The restaurant was crowded and a bit noisy, but the food was decent.",Neutral
182,The meal was average; I've had better at cheaper places.,Neutral
183,The waitstaff was incredibly friendly and accommodating.,Positive
184,"The restaurant was crowded and a bit noisy, but the food was decent.",Neutral
185,The overall experience was mediocre at best.,Neutral
186,"The food was inedible, and I felt sick afterward.",Negative
187,Completely overpriced for the quality of food served.,Negative
188,The live music added a lovely touch to the meal.,Positive
189,The meal was average; I've had better at cheaper places.,Neutral
190,I really enjoyed the dessert; it was the highlight of the evening.,Positive
191,A fantastic experience overall! Highly recommend trying the steak.,Positive
192,Completely overpriced for the quality of food served.,Negative
193,I really enjoyed the dessert; it was the highlight of the evening.,Positive
194,"Prices were reasonable, but the quality was lacking.",Neutral
195,The waitstaff was incredibly friendly and accommodating.,Positive
196,I really enjoyed the dessert; it was the highlight of the evening.,Positive
197,I left the restaurant hungry because the portions were too small.,Negative
198,"It was okay, nothing too special about the experience.",Neutral
199,"The drinks were amazing, and the presentation was beautiful.",Positive
200,"It was okay, nothing too special about the experience.",Neutral
201,The waitstaff was incredibly friendly and accommodating.,Positive
202,I really enjoyed the dessert; it was the highlight of the evening.,Positive
203,It was worth every penny for such an incredible dining experience.,Positive
204,The staff ignored us for most of the evening.,Negative
205,"I had to wait over an hour for my food, and it was cold when it arrived.",Negative
206,A fantastic experience overall! Highly recommend trying the steak.,Positive
207,"The service was unacceptable, and I wouldn't recommend this place.",Negative
208,"I had to wait over an hour for my food, and it was cold when it arrived.",Negative
209,"Prices were reasonable, but the quality was lacking.",Neutral
210,"The service was unacceptable, and I wouldn't recommend this place.",Negative
211,"The restaurant was crowded and a bit noisy, but the food was decent.",Neutral
212,I really enjoyed the dessert; it was the highlight of the evening.,Positive
213,"It was okay, nothing too special about the experience.",Neutral
214,It’s just a typical place to grab a bite—nothing memorable.,Neutral
215,"The pasta was bland, and the portion sizes were disappointingly small.",Negative
216,"Terrible experience! The staff was rude, and the food was undercooked.",Negative
217,The overall experience was mediocre at best.,Neutral
218,"Prices were reasonable, but the quality was lacking.",Neutral
219,"The service was unacceptable, and I wouldn't recommend this place.",Negative
220,"The ambiance of the restaurant was cozy, and the staff was very attentive.",Positive
221,"The drinks were amazing, and the presentation was beautiful.",Positive
222,"The ambiance of the restaurant was cozy, and the staff was very attentive.",Positive
223,"The restaurant was dirty, and the tableware was not clean.",Negative
224,It’s just a typical place to grab a bite—nothing memorable.,Neutral
225,"The restaurant was crowded and a bit noisy, but the food was decent.",Neutral
226,"Terrible experience! The staff was rude, and the food was undercooked.",Negative
227,"It was okay, nothing too special about the experience.",Neutral
228,It’s just a typical place to grab a bite—nothing memorable.,Neutral
229,It was worth every penny for such an incredible dining experience.,Positive
230,"The chairs were uncomfortable, but the drinks were reasonably good.",Neutral
231,Everything from the appetizers to the main course was perfect!,Positive
232,Everything from the appetizers to the main course was perfect!,Positive
233,"Service was neither bad nor great, just average.",Neutral
234,The meal was average; I've had better at cheaper places.,Neutral
235,"Service was neither bad nor great, just average.",Neutral
236,Completely overpriced for the quality of food served.,Negative
237,The overall experience was mediocre at best.,Neutral
238,"It was okay, nothing too special about the experience.",Neutral
239,I really enjoyed the dessert; it was the highlight of the evening.,Positive
240,"The portions were generous, and the flavors were rich and satisfying.",Positive
241,"It was okay, nothing too special about the experience.",Neutral
242,"The portions were generous, and the flavors were rich and satisfying.",Positive
243,"Service was neither bad nor great, just average.",Neutral
244,"The restaurant was dirty, and the tableware was not clean.",Negative
245,"Prices were reasonable, but the quality was lacking.",Neutral
246,"Terrible experience! The staff was rude, and the food was undercooked.",Negative
247,"Prices were reasonable, but the quality was lacking.",Neutral
248,I really enjoyed the dessert; it was the highlight of the evening.,Positive
249,"The drinks were amazing, and the presentation was beautiful.",Positive
250,The live music added a lovely touch to the meal.,Positive
251,"The pasta was bland, and the portion sizes were disappointingly small.",Negative
252,"The decor was fine, but nothing extraordinary.",Neutral
253,The waitstaff was incredibly friendly and accommodating.,Positive
254,"The restaurant was dirty, and the tableware was not clean.",Negative
255,"Terrible experience! The staff was rude, and the food was undercooked.",Negative
256,"The food was inedible, and I felt sick afterward.",Negative
257,"The food was inedible, and I felt sick afterward.",Negative
258,The staff ignored us for most of the evening.,Negative
259,"The decor was fine, but nothing extraordinary.",Neutral
260,"The food was inedible, and I felt sick afterward.",Negative
261,"The service was unacceptable, and I wouldn't recommend this place.",Negative
262,"The drinks were amazing, and the presentation was beautiful.",Positive
263,The staff ignored us for most of the evening.,Negative
264,"The service was unacceptable, and I wouldn't recommend this place.",Negative
265,"The ambiance was too noisy, and it ruined the meal.",Negative
266,"The decor was fine, but nothing extraordinary.",Neutral
267,"I had to wait over an hour for my food, and it was cold when it arrived.",Negative
268,"The chairs were uncomfortable, but the drinks were reasonably good.",Neutral
269,"The drinks were amazing, and the presentation was beautiful.",Positive
270,"The ambiance was too noisy, and it ruined the meal.",Negative
271,"The restaurant was dirty, and the tableware was not clean.",Negative
272,"Food was served quickly, but the taste was just alright.",Neutral
273,It’s just a typical place to grab a bite—nothing memorable.,Neutral
274,I left the restaurant hungry because the portions were too small.,Negative
275,"The service was unacceptable, and I wouldn't recommend this place.",Negative
276,"Terrible experience! The staff was rude, and the food was undercooked.",Negative
277,The overall experience was mediocre at best.,Neutral
278,"The ambiance was too noisy, and it ruined the meal.",Negative
279,The meal was average; I've had better at cheaper places.,Neutral
280,I really enjoyed the dessert; it was the highlight of the evening.,Positive
281,Everything from the appetizers to the main course was perfect!,Positive
282,The food was absolutely delicious and the service was excellent.,Positive
283,Everything from the appetizers to the main course was perfect!,Positive
284,"Prices were reasonable, but the quality was lacking.",Neutral
285,It was worth every penny for such an incredible dining experience.,Positive
286,"Prices were reasonable, but the quality was lacking.",Neutral
287,"The drinks were amazing, and the presentation was beautiful.",Positive
288,"The decor was fine, but nothing extraordinary.",Neutral
289,"The ambiance of the restaurant was cozy, and the staff was very attentive.",Positive
290,"I had to wait over an hour for my food, and it was cold when it arrived.",Negative
291,"The drinks were amazing, and the presentation was beautiful.",Positive
292,"The ambiance of the restaurant was cozy, and the staff was very attentive.",Positive
293,Completely overpriced for the quality of food served.,Negative
294,"It was okay, nothing too special about the experience.",Neutral
295,"The pasta was bland, and the portion sizes were disappointingly small.",Negative
296,It was worth every penny for such an incredible dining experience.,Positive
297,It was worth every penny for such an incredible dining experience.,Positive
298,Completely overpriced for the quality of food served.,Negative
299,"The ambiance was too noisy, and it ruined the meal.",Negative
300,"Food was served quickly, but the taste was just alright.",Neutral
301,Completely overpriced for the quality of food served.,Negative
302,The overall experience was mediocre at best.,Neutral
303,"The restaurant was crowded and a bit noisy, but the food was decent.",Neutral
304,I left the restaurant hungry because the portions were too small.,Negative
305,"The chairs were uncomfortable, but the drinks were reasonably good.",Neutral
306,I really enjoyed the dessert; it was the highlight of the evening.,Positive
307,I left the restaurant hungry because the portions were too small.,Negative
308,"The pasta was bland, and the portion sizes were disappointingly small.",Negative
309,"Food was served quickly, but the taste was just alright.",Neutral
310,I really enjoyed the dessert; it was the highlight of the evening.,Positive
311,I really enjoyed the dessert; it was the highlight of the evening.,Positive
312,"Service was neither bad nor great, just average.",Neutral
313,"Terrible experience! The staff was rude, and the food was undercooked.",Negative
314,"The ambiance of the restaurant was cozy, and the staff was very attentive.",Positive
315,"The drinks were amazing, and the presentation was beautiful.",Positive
316,"The service was unacceptable, and I wouldn't recommend this place.",Negative
317,"The pasta was bland, and the portion sizes were disappointingly small.",Negative
318,"The drinks were amazing, and the presentation was beautiful.",Positive
319,"Service was neither bad nor great, just average.",Neutral
320,I left the restaurant hungry because the portions were too small.,Negative
321,"It was okay, nothing too special about the experience.",Neutral
322,"The drinks were amazing, and the presentation was beautiful.",Positive
323,"Prices were reasonable, but the quality was lacking.",Neutral
324,"I had to wait over an hour for my food, and it was cold when it arrived.",Negative
325,The staff ignored us for most of the evening.,Negative
326,"It was okay, nothing too special about the experience.",Neutral
327,"The chairs were uncomfortable, but the drinks were reasonably good.",Neutral
328,"The decor was fine, but nothing extraordinary.",Neutral
329,Completely overpriced for the quality of food served.,Negative
330,"The pasta was bland, and the portion sizes were disappointingly small.",Negative
331,It’s just a typical place to grab a bite—nothing memorable.,Neutral
332,"The decor was fine, but nothing extraordinary.",Neutral
333,"It was okay, nothing too special about the experience.",Neutral
334,"Service was neither bad nor great, just average.",Neutral
335,The staff ignored us for most of the evening.,Negative
336,"The service was unacceptable, and I wouldn't recommend this place.",Negative
337,"The restaurant was crowded and a bit noisy, but the food was decent.",Neutral
338,Completely overpriced for the quality of food served.,Negative
339,"The drinks were amazing, and the presentation was beautiful.",Positive
340,"The ambiance was too noisy, and it ruined the meal.",Negative
341,"I had to wait over an hour for my food, and it was cold when it arrived.",Negative
342,"The drinks were amazing, and the presentation was beautiful.",Positive
343,It was worth every penny for such an incredible dining experience.,Positive
344,The food was absolutely delicious and the service was excellent.,Positive
345,"The decor was fine, but nothing extraordinary.",Neutral
346,It’s just a typical place to grab a bite—nothing memorable.,Neutral
347,"Service was neither bad nor great, just average.",Neutral
348,"The decor was fine, but nothing extraordinary.",Neutral
349,"The decor was fine, but nothing extraordinary.",Neutral
350,The meal was average; I've had better at cheaper places.,Neutral
351,"It was okay, nothing too special about the experience.",Neutral
352,Completely overpriced for the quality of food served.,Negative
353,The waitstaff was incredibly friendly and accommodating.,Positive
354,A fantastic experience overall! Highly recommend trying the steak.,Positive
355,"I had to wait over an hour for my food, and it was cold when it arrived.",Negative
356,Everything from the appetizers to the main course was perfect!,Positive
357,The food was absolutely delicious and the service was excellent.,Positive
358,"The service was unacceptable, and I wouldn't recommend this place.",Negative
359,"The ambiance of the restaurant was cozy, and the staff was very attentive.",Positive
360,The meal was average; I've had better at cheaper places.,Neutral
361,"The pasta was bland, and the portion sizes were disappointingly small.",Negative
362,"The chairs were uncomfortable, but the drinks were reasonably good.",Neutral
363,"The restaurant was crowded and a bit noisy, but the food was decent.",Neutral
364,"The ambiance was too noisy, and it ruined the meal.",Negative
365,"Terrible experience! The staff was rude, and the food was undercooked.",Negative
366,I really enjoyed the dessert; it was the highlight of the evening.,Positive
367,"The portions were generous, and the flavors were rich and satisfying.",Positive
368,I really enjoyed the dessert; it was the highlight of the evening.,Positive
369,The staff ignored us for most of the evening.,Negative
370,It’s just a typical place to grab a bite—nothing memorable.,Neutral
371,"The portions were generous, and the flavors were rich and satisfying.",Positive
372,"The pasta was bland, and the portion sizes were disappointingly small.",Negative
373,I really enjoyed the dessert; it was the highlight of the evening.,Positive
374,"The ambiance was too noisy, and it ruined the meal.",Negative
375,"The portions were generous, and the flavors were rich and satisfying.",Positive
376,The waitstaff was incredibly friendly and accommodating.,Positive
377,The staff ignored us for most of the evening.,Negative
378,"The restaurant was dirty, and the tableware was not clean.",Negative
379,The live music added a lovely touch to the meal.,Positive
380,"The restaurant was dirty, and the tableware was not clean.",Negative
381,"The drinks were amazing, and the presentation was beautiful.",Positive
382,The meal was average; I've had better at cheaper places.,Neutral
383,"Service was neither bad nor great, just average.",Neutral
384,I left the restaurant hungry because the portions were too small.,Negative
385,"The service was unacceptable, and I wouldn't recommend this place.",Negative
386,"The restaurant was crowded and a bit noisy, but the food was decent.",Neutral
387,Completely overpriced for the quality of food served.,Negative
388,"The food was inedible, and I felt sick afterward.",Negative
389,Completely overpriced for the quality of food served.,Negative
390,"Food was served quickly, but the taste was just alright.",Neutral
391,"Prices were reasonable, but the quality was lacking.",Neutral
392,"Service was neither bad nor great, just average.",Neutral
393,A fantastic experience overall! Highly recommend trying the steak.,Positive
394,"Food was served quickly, but the taste was just alright.",Neutral
395,It was worth every penny for such an incredible dining experience.,Positive
396,"The ambiance was too noisy, and it ruined the meal.",Negative
397,The staff ignored us for most of the evening.,Negative
398,"It was okay, nothing too special about the experience.",Neutral
399,"Service was neither bad nor great, just average.",Neutral
400,It was worth every penny for such an incredible dining experience.,Positive
401,The waitstaff was incredibly friendly and accommodating.,Positive
402,"Service was neither bad nor great, just average.",Neutral
403,"Prices were reasonable, but the quality was lacking.",Neutral
404,"The food was inedible, and I felt sick afterward.",Negative
405,"I had to wait over an hour for my food, and it was cold when it arrived.",Negative
406,"The pasta was bland, and the portion sizes were disappointingly small.",Negative
407,Everything from the appetizers to the main course was perfect!,Positive
408,The staff ignored us for most of the evening.,Negative
409,The overall experience was mediocre at best.,Neutral
410,It was worth every penny for such an incredible dining experience.,Positive
411,I left the restaurant hungry because the portions were too small.,Negative
412,"It was okay, nothing too special about the experience.",Neutral
413,I really enjoyed the dessert; it was the highlight of the evening.,Positive
414,"The drinks were amazing, and the presentation was beautiful.",Positive
415,"The pasta was bland, and the portion sizes were disappointingly small.",Negative
416,"Prices were reasonable, but the quality was lacking.",Neutral
417,"Food was served quickly, but the taste was just alright.",Neutral
418,Completely overpriced for the quality of food served.,Negative
419,"The decor was fine, but nothing extraordinary.",Neutral
420,Completely overpriced for the quality of food served.,Negative
421,"Service was neither bad nor great, just average.",Neutral
422,I left the restaurant hungry because the portions were too small.,Negative
423,"The chairs were uncomfortable, but the drinks were reasonably good.",Neutral
424,It’s just a typical place to grab a bite—nothing memorable.,Neutral
425,Everything from the appetizers to the main course was perfect!,Positive
426,The meal was average; I've had better at cheaper places.,Neutral
427,Completely overpriced for the quality of food served.,Negative
428,"The service was unacceptable, and I wouldn't recommend this place.",Negative
429,Everything from the appetizers to the main course was perfect!,Positive
430,I left the restaurant hungry because the portions were too small.,Negative
431,"Prices were reasonable, but the quality was lacking.",Neutral
432,"The ambiance was too noisy, and it ruined the meal.",Negative
433,The meal was average; I've had better at cheaper places.,Neutral
434,I really enjoyed the dessert; it was the highlight of the evening.,Positive
435,The waitstaff was incredibly friendly and accommodating.,Positive
436,I really enjoyed the dessert; it was the highlight of the evening.,Positive
437,The live music added a lovely touch to the meal.,Positive
438,I really enjoyed the dessert; it was the highlight of the evening.,Positive
439,The food was absolutely delicious and the service was excellent.,Positive
440,"The food was inedible, and I felt sick afterward.",Negative
441,"The service was unacceptable, and I wouldn't recommend this place.",Negative
442,I left the restaurant hungry because the portions were too small.,Negative
443,The food was absolutely delicious and the service was excellent.,Positive
444,"The food was inedible, and I felt sick afterward.",Negative
445,"Food was served quickly, but the taste was just alright.",Neutral
446,"Service was neither bad nor great, just average.",Neutral
447,The food was absolutely delicious and the service was excellent.,Positive
448,"Food was served quickly, but the taste was just alright.",Neutral
449,A fantastic experience overall! Highly recommend trying the steak.,Positive
450,"Food was served quickly, but the taste was just alright.",Neutral
451,"The portions were generous, and the flavors were rich and satisfying.",Positive
452,"I had to wait over an hour for my food, and it was cold when it arrived.",Negative
453,"The ambiance of the restaurant was cozy, and the staff was very attentive.",Positive
454,"The food was inedible, and I felt sick afterward.",Negative
455,Everything from the appetizers to the main course was perfect!,Positive
456,The live music added a lovely touch to the meal.,Positive
457,"Prices were reasonable, but the quality was lacking.",Neutral
458,"The ambiance was too noisy, and it ruined the meal.",Negative
459,The live music added a lovely touch to the meal.,Positive
460,"Food was served quickly, but the taste was just alright.",Neutral
461,"The chairs were uncomfortable, but the drinks were reasonably good.",Neutral
462,The staff ignored us for most of the evening.,Negative
463,"Prices were reasonable, but the quality was lacking.",Neutral
464,"I had to wait over an hour for my food, and it was cold when it arrived.",Negative
465,"Terrible experience! The staff was rude, and the food was undercooked.",Negative
466,Everything from the appetizers to the main course was perfect!,Positive
467,The meal was average; I've had better at cheaper places.,Neutral
468,Everything from the appetizers to the main course was perfect!,Positive
469,The live music added a lovely touch to the meal.,Positive
470,"The ambiance of the restaurant was cozy, and the staff was very attentive.",Positive
471,"The drinks were amazing, and the presentation was beautiful.",Positive
472,"Prices were reasonable, but the quality was lacking.",Neutral
473,"The chairs were uncomfortable, but the drinks were reasonably good.",Neutral
474,Everything from the appetizers to the main course was perfect!,Positive
475,"The chairs were uncomfortable, but the drinks were reasonably good.",Neutral
476,I left the restaurant hungry because the portions were too small.,Negative
477,Everything from the appetizers to the main course was perfect!,Positive
478,"Prices were reasonable, but the quality was lacking.",Neutral
479,"The pasta was bland, and the portion sizes were disappointingly small.",Negative
480,The meal was average; I've had better at cheaper places.,Neutral
481,"The pasta was bland, and the portion sizes were disappointingly small.",Negative
482,"The service was unacceptable, and I wouldn't recommend this place.",Negative
483,"The restaurant was crowded and a bit noisy, but the food was decent.",Neutral
484,The food was absolutely delicious and the service was excellent.,Positive
485,I really enjoyed the dessert; it was the highlight of the evening.,Positive
486,"The ambiance was too noisy, and it ruined the meal.",Negative
487,"Food was served quickly, but the taste was just alright.",Neutral
488,It was worth every penny for such an incredible dining experience.,Positive
489,"The food was inedible, and I felt sick afterward.",Negative
490,The staff ignored us for most of the evening.,Negative
491,The overall experience was mediocre at best.,Neutral
492,I left the restaurant hungry because the portions were too small.,Negative
493,The meal was average; I've had better at cheaper places.,Neutral
494,"I had to wait over an hour for my food, and it was cold when it arrived.",Negative
495,"Service was neither bad nor great, just average.",Neutral
496,"The food was inedible, and I felt sick afterward.",Negative
497,A fantastic experience overall! Highly recommend trying the steak.,Positive
498,"The portions were generous, and the flavors were rich and satisfying.",Positive
499,"I had to wait over an hour for my food, and it was cold when it arrived.",Negative
500,"The food was inedible, and I felt sick afterward.",Negative
501,"I had to wait over an hour for my food, and it was cold when it arrived.",Negative
502,It was worth every penny for such an incredible dining experience.,Positive
503,I left the restaurant hungry because the portions were too small.,Negative
504,"The restaurant was crowded and a bit noisy, but the food was decent.",Neutral
505,The staff ignored us for most of the evening.,Negative
506,I left the restaurant hungry because the portions were too small.,Negative
507,It was worth every penny for such an incredible dining experience.,Positive
508,"The decor was fine, but nothing extraordinary.",Neutral
509,"Service was neither bad nor great, just average.",Neutral
510,"Terrible experience! The staff was rude, and the food was undercooked.",Negative
511,The waitstaff was incredibly friendly and accommodating.,Positive
512,"Food was served quickly, but the taste was just alright.",Neutral
513,"The decor was fine, but nothing extraordinary.",Neutral
514,"I had to wait over an hour for my food, and it was cold when it arrived.",Negative
515,The meal was average; I've had better at cheaper places.,Neutral
516,"The chairs were uncomfortable, but the drinks were reasonably good.",Neutral
